Run: 92, exploration: 0.33455055597370953, score: 0, Q_value: 4.117248058319092, Reward : -6.90000057220459
Run: 93, exploration: 0.3329151864072993, score: 0, Q_value: 3.9704651832580566, Reward : -5.700000762939453
Run: 94, exploration: 0.33128781094991366, score: 0, Q_value: 4.15295934677124, Reward : -8.100000381469727
Run: 95, exploration: 0.32966839052428215, score: 0, Q_value: 4.138749122619629, Reward : -8.100000381469727
Run: 96, exploration: 0.3280568862441542, score: 0, Q_value: 4.189709663391113, Reward : -7.500000953674316
Run: 97, exploration: 0.32645325941336456, score: 0, Q_value: 4.1149773597717285, Reward : -7.500000953674316
Run: 98, exploration: 0.3248574715249056, score: 0, Q_value: 4.0781474113464355, Reward : -8.100000381469727
Run: 99, exploration: 0.3232694842600015, score: 0, Q_value: 4.1301140785217285, Reward : -8.100000381469727
Run: 100, exploration: 0.3216892594871888, score: 0, Q_value: 4.074953079223633, Reward : -8.100000381469727
Run: 101, exploration: 0.3201167592614002, score: 0, Q_value: 4.177680969238281, Reward : -8.100000381469727
Run: 102, exploration: 0.31855194582305363, score: 0, Q_value: 4.041089057922363, Reward : -7.500000953674316
Run: 103, exploration: 0.3169947815971458, score: 0, Q_value: 3.8971409797668457, Reward : -7.500000953674316
Run: 104, exploration: 0.31544522919234985, score: 0, Q_value: 4.01646089553833, Reward : -7.500000953674316
Run: 105, exploration: 0.31390325140011727, score: 0, Q_value: 4.145076274871826, Reward : -7.500000953674316
Run: 106, exploration: 0.3123688111937847, score: 0, Q_value: 4.091562747955322, Reward : -8.100000381469727
Run: 107, exploration: 0.31084187172768446, score: 0, Q_value: 3.991133689880371, Reward : -8.100000381469727
Run: 108, exploration: 0.30932239633625985, score: 0, Q_value: 4.109162330627441, Reward : -7.500000953674316
Run: 109, exploration: 0.30781034853318523, score: 0, Q_value: 4.378561496734619, Reward : -8.100000381469727
Run: 110, exploration: 0.3063056920104896, score: 0, Q_value: 4.14934778213501, Reward : -7.500000953674316
Run: 111, exploration: 0.30480839063768445, score: 0, Q_value: 4.2378058433532715, Reward : -8.100000381469727
Run: 112, exploration: 0.3033184084608964, score: 0, Q_value: 4.228677749633789, Reward : -8.100000381469727
Run: 113, exploration: 0.3018357097020038, score: 0, Q_value: 4.073910713195801, Reward : -7.500000953674316
Run: 114, exploration: 0.3003602587577785, score: 0, Q_value: 4.160285949707031, Reward : -8.100000381469727
Run: 115, exploration: 0.29889202019902933, score: 0, Q_value: 4.164254665374756, Reward : -7.500000953674316
Run: 116, exploration: 0.29743095876975223, score: 0, Q_value: 4.2855095863342285, Reward : -8.100000381469727
Run: 117, exploration: 0.2959770393862839, score: 0, Q_value: 4.1124958992004395, Reward : -5.100001335144043
Run: 118, exploration: 0.2945302271364587, score: 0, Q_value: 4.03786039352417, Reward : -7.500000953674316
Run: 119, exploration: 0.29309048727877135, score: 0, Q_value: 4.2519025802612305, Reward : -7.500000953674316
Run: 120, exploration: 0.2916577852415412, score: 0, Q_value: 4.056011199951172, Reward : -8.100000381469727
Run: 121, exploration: 0.29023208662208316, score: 0, Q_value: 4.293769359588623, Reward : -8.100000381469727
Run: 122, exploration: 0.2888133571858816, score: 0, Q_value: 3.93044376373291, Reward : -8.100000381469727
Run: 123, exploration: 0.2874015628657677, score: 0, Q_value: 4.083752632141113, Reward : -6.90000057220459
Run: 124, exploration: 0.2859966697611024, score: 0, Q_value: 4.169703960418701, Reward : -7.500000953674316
Run: 125, exploration: 0.284598644136961, score: 0, Q_value: 3.9629759788513184, Reward : -6.30000114440918
Run: 126, exploration: 0.28320745242332435, score: 0, Q_value: 3.8488388061523438, Reward : -8.100000381469727
Run: 127, exploration: 0.2818230612142719, score: 0, Q_value: 4.190317153930664, Reward : -7.500000953674316
Run: 128, exploration: 0.28044543726717974, score: 0, Q_value: 4.038841724395752, Reward : -8.100000381469727
Run: 129, exploration: 0.2790745475019229, score: 0, Q_value: 3.996352195739746, Reward : -6.90000057220459
Run: 130, exploration: 0.2777103590000805, score: 0, Q_value: 4.024423122406006, Reward : -7.500000953674316
Run: 131, exploration: 0.27635283900414526, score: 0, Q_value: 4.062863826751709, Reward : -8.700000762939453
